,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
104,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,1,,21,D,498,378,5468000,2020-08-24,2013-05-10,3730000,46.6,22.350234,114.0599035
105,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 9,2002-08-07,L,2,,1,E,706,537,5780000,2020-08-24,2016-02-19,5000000,15.6,22.352237,114.0613061
106,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,,,20,K,498,378,5100000,2020-08-24,2004-08-04,1701400,199.75,22.350234,114.0599035
107,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 10,2002-08-07,M,3,,12,C,813,615,8480000,2020-08-21,2002-09-19,2351600,260.61,22.3518857,114.0611934
108,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,1,,12,A,495,366,4800000,2020-08-21,2002-10-10,1277900,275.62,22.350234,114.0599035
109,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 18,2002-08-07,M,2,,11,E,648,497,5630000,2020-08-20,2002-09-18,1319600,326.64,22.351043999999998,114.060254
110,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,L,,,9,L,488,360,3800000,2020-08-17,2008-04-21,825000,360.61,22.350234,114.0599035
111,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 15,2002-08-07,L,2,,6,E,688,529,6050000,2020-08-14,2017-05-11,500000,1110.0,22.3506479,114.060655
112,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 21,2004-11-12,M,2,,23,G,678,532,6360000,2020-08-12,2020-03-04,5700000,11.58,22.352131999999997,114.060002
113,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 31,2006-06-28,H,2,,26,H,622,476,6168000,2020-08-11,2011-04-19,3348000,84.23,22.3538806,114.060371
114,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 12,2002-08-07,L,3,,6,A,1042,807,9700000,2020-08-05,2017-02-10,7000000,38.57,22.3512462,114.0609784
115,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 23,2004-11-12,L,3,,9,B,912,707,7980000,2020-08-04,2011-01-03,4300000,85.58,22.3527971,114.060294
116,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 22,2004-11-12,M,2,,20,E,653,490,6200000,2020-07-29,2010-12-31,2850000,117.54,22.3524715,114.0601535
117,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 3,2002-08-07,H,2,,25,E,720,549,6500000,2020-07-28,2008-04-08,2560000,153.91,22.3536435,114.062419
