,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
943,FLAT B 1/F SEAVIEW COURT  ,28,8/10/2019,5.38,308,468,17468,11496,3117,121
944,FLAT 1 10/F HOI LUNG COURT (BLOCK N) ABERDEEN CENTRE ,41,8/10/2019,6.8,438,529,15525,12854,-,
945,FLAT D 8/F POKFULAM TERRACE  ,17,4/10/2019,10.48,676,916,15496,11436,5693,216
946,FLAT D 2/F SOUTH WALK．AURA  ,1,4/10/2019,4.61,171,-,26936,-,-,-
947,FLAT 5 1/F KA SING HOUSE (BLOCK A) KA LUNG COURT ,29,4/10/2019,5.7,401,515,14214,11068,-,
948,FLAT 8 1/F YAT FAI HOUSE (BLOCK B) YUE FAI COURT ,40,4/10/2019,5.2,419,502,12411,10359,-,
949,FLAT B 11/F POKFULAM TERRACE  ,17,3/10/2019,8.2,523,688,15679,11919,1538,25
950,FLAT E 5/F HING FU BUILDING  ,42,3/10/2019,3.73,297,-,12559,-,-,
951,FLAT 3 10/F KING FAI HOUSE (BLOCK E) YUE FAI COURT ,40,2/10/2019,5.89,384,460,15326,12793,-,
952,FLAT 7 9/F TUNG MAU HOUSE LEI TUNG ESTATE ,33,2/10/2019,1.97,296,-,6655,-,-,
953,FLAT 3 10/F YAT FAI HOUSE (BLOCK B) YUE FAI COURT ,40,2/10/2019,5.75,384,460,14974,12500,-,
954,FLAT B 1/F BLOCK 1 POKFULAM GARDENS ,41,30/9/2019,6.5,466,535,13948,12150,1705,63
955,FLAT B 17/F H．BONAIRE  ,4,30/9/2019,7.8,320,-,24375,-,1719,6
956,FLAT D 13/F BLOCK 5 POKFULAM GARDENS ,41,27/9/2019,10.8,705,833,15319,12965,-,
957,FLAT E 24/F FU CHUN YUEN (BLOCK H-14) CHI FU FA YUEN ,39,27/9/2019,7,439,518,15945,13514,4949,272
958,FLAT C 11/F FU YIP YUEN (BLOCK H-9) CHI FU FA YUEN ,41,26/9/2019,7.98,588,694,13571,11499,-,
959,FLAT B 12/F FU YI YUEN (BLOCK H-7) CHI FU FA YUEN ,42,26/9/2019,8,588,694,13605,11527,5539,171
960,FLAT C 14/F SZE HEI BUILDING  ,45,25/9/2019,4.5,316,-,14241,-,-,
961,FLAT B 18/F FU CHUN YUEN (BLOCK H-14) CHI FU FA YUEN ,39,25/9/2019,8.2,588,694,13946,11816,6468,319
962,FLAT B 10/F POKFULAM TERRACE  ,17,25/9/2019,7,523,688,13384,10174,4051,126
963,FLAT B 7/F HAPPY VIEW BUILDING  ,39,24/9/2019,5.46,328,417,16646,13094,2016,64
964,FLAT C 2/F FULL JADE MANSION  ,28,20/9/2019,4.18,236,342,17712,12222,1978,74
965,FLAT 4 26/F BLOCK A ABBA HOUSE ,37,20/9/2019,5.9,325,422,18154,13981,8619,264
966,FLAT D 18/F BLOCK 1 POKFULAM GARDENS ,41,20/9/2019,12,702,820,17094,14634,2739,98
967,FLAT A 35/F TOWER 2 LARVOTTO ,10,20/9/2019,54.8,1836,2423,29847,22617,3005,-2
968,FLAT B 23/F BLOCK 1 WATERFRONT SOUTH ,21,19/9/2019,8.88,596,866,14899,10254,5440,261
969,FLAT C 11/F COBLE COURT  ,33,18/9/2019,4.75,265,319,17925,14890,1161,34
970,FLAT J 24/F BLOCK 1 BROADVIEW COURT ,19,17/9/2019,6.13,470,563,13043,10888,-,
971,FLAT A 9/F SOUTH WALK．AURA  ,1,16/9/2019,6.15,255,-,24102,-,-,-
972,FLAT B 13/F BILLION COURT  ,30,13/9/2019,6.32,386,486,16373,13004,-,
973,FLAT J 7/F ABERDEEN HARBOUR MANSION  ,48,13/9/2019,5.6,420,500,13333,11200,-,
974,FLAT D 19/F BLOCK 3 SHAM WAN TOWERS ,16,13/9/2019,8.83,495,646,17838,13669,4242,143
975,FLAT 18 32/F WAH YIN HOUSE (BLOCK 5) WAH KWAI ESTATE ,29,13/9/2019,2.7,397,513,6801,5263,-,
976,FLAT F 15/F FORTUNE MANSION  ,33,13/9/2019,7.25,415,505,17470,14356,3559,230
977,FLAT B 21/F FU KAR YUEN (BLOCK H-15) CHI FU FA YUEN ,39,12/9/2019,9,588,694,15306,12968,4596,200
978,FLAT 6 21/F WU ON HOUSE (BLOCK G) YUE ON COURT ,32,12/9/2019,6.6,469,575,14072,11478,-,
979,FLAT 3 34/F KA PING HOUSE (BLOCK B) KA LUNG COURT ,29,10/9/2019,3,401,515,7481,5825,-,
980,FLAT C 21/F COBLE COURT  ,33,9/9/2019,5.1,265,319,19245,15987,1238,42
981,FLAT 2 11/F WAH YIN HOUSE (BLOCK 5) WAH KWAI ESTATE ,29,6/9/2019,2.31,376,485,6144,4763,-,
982,FLAT C 1/F BLOCK 3 POKFULAM GARDENS ,41,6/9/2019,6.8,466,535,14592,12710,7840,172
983,FLAT C 26/F FU WING YUEN (BLOCK H-19) CHI FU FA YUEN ,39,6/9/2019,9.2,588,694,15646,13256,1946,46
984,FLAT E 28/F WORLD FAIR COURT  ,42,5/9/2019,5.48,360,480,15222,11417,4319,368
985,FLAT 4 13/F HAR ON HOUSE (BLOCK E) YUE ON COURT ,32,4/9/2019,6.4,493,604,12981,10596,-,
986,FLAT 27 26/F TUNG HING HOUSE LEI TUNG ESTATE ,33,4/9/2019,1.44,287,-,5002,-,-,
987,FLAT 6 16/F KONG SHING COURT (BLOCK F) ABERDEEN CENTRE ,38,4/9/2019,6.3,448,547,14063,11517,3998,212
988,FLAT D 21/F FU WAH YUEN (BLOCK H-10) CHI FU FA YUEN ,40,3/9/2019,7.02,439,518,15986,13548,3751,216
989,FLAT D 24/F PELENE MANSION  ,41,2/9/2019,4.7,279,383,16846,12272,1665,42
990,FLAT H 8/F FU YAR YUEN (BLOCK H-12) CHI FU FA YUEN ,40,30/8/2019,6.82,439,518,15535,13166,2686,88
991,FLAT E 6/F SUN MING BUILDING  ,54,29/8/2019,6.41,356,-,18015,-,5209,0
992,FLAT D 6/F SUN MING BUILDING  ,54,29/8/2019,8.01,445,-,18000,-,5931,0
993,FLAT D 5/F SUN MING BUILDING  ,54,29/8/2019,8.01,445,-,18000,-,5543,0
994,FLAT H 37/F BLOCK 2 BROADVIEW COURT ,19,28/8/2019,7.68,577,691,13310,11114,-,
995,FLAT E 11/F FU WING YUEN (BLOCK H-19) CHI FU FA YUEN ,39,27/8/2019,6.65,439,518,15148,12838,2366,62
996,FLAT 7 26/F KA CHUN HOUSE (BLOCK C) KA LUNG COURT ,29,26/8/2019,7,554,712,12635,9831,-,
997,FLAT B 16/F KINGSTON MANSION  ,19,26/8/2019,8.5,538,779,15799,10911,3693,219
