,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1326,HOUSE 26 NO. 38 HOUSE 26 THE CAVARIDGE ,1,3/2/2020,116.47,4320,-,26961,-,-,-
1327,FLAT A 8/F TOWER 2 MOUNT REGALIA ,2,3/2/2020,52.26,2038,-,25640,-,-,-
1328,FLAT B 6/F TOWER 8 MOUNT REGALIA ,2,24/1/2020,32.56,1625,-,20038,-,-,-
1329,FLAT C G/F TOWER 2 THE CAVARIDGE ,1,24/1/2020,44.72,2233,-,20025,-,-,-
1330,FLAT 1 11/F BLOCK B SCENERY GARDEN ,35,24/1/2020,5.3,408,522,12990,10153,2866,132
1331,FLAT B 9/F BLOCK 7 PHASE 1 ROYAL ASCOT,25,22/1/2020,11.38,958,1128,11879,10089,-,
1332,FLAT A 5/F BAUHINIA COURT (BLOCK 3) WORLD-WIDE GARDENS ,40,22/1/2020,18.5,1800,2000,10278,9250,-,
1333,FLAT D 10/F BLOCK 1 THE PALAZZO ,12,22/1/2020,9,556,717,16187,12552,4243,102
1334,HOUSE H3 NO. 68 HOUSE H3 LA VETTA ,2,20/1/2020,48.48,2083,-,23272,-,-,-
1335,FLAT C 5/F BLOCK 5 PRISTINE VILLA ,25,17/1/2020,13.68,1066,1287,12833,10629,3252,56
1336,FLAT C 5/F BLOCK 3 PRISTINE VILLA ,25,17/1/2020,14,1066,1287,13133,10878,6742,196
1337,FLAT 9 3/F YUK WO COURT  ,0,15/1/2020,2.41,-,-,-,-,-,-
1338,FLAT B 5/F APEX 3 ST MORITZ ,3,15/1/2020,34.61,1525,-,22695,-,-,-
1339,FLAT F 15/F BLOCK 3 PHASE 1 ROYAL ASCOT,25,13/1/2020,18.1,1370,1620,13212,11173,-,
1340,FLAT F 12/F BLOCK 6 PHASE 1 ROYAL ASCOT,25,13/1/2020,18,1373,1623,13110,11091,-,
1341,FLAT B 7/F BLOCK 1 PHASE 1 ROYAL ASCOT,25,10/1/2020,12.08,958,1128,12610,10709,-,
1342,FLAT C 25/F THE GARRISON  ,1,9/1/2020,6.56,261,-,25138,-,-,-
1343,FLAT B6 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,7/1/2020,17.35,796,-,21800,-,-,-
1344,FLAT E 9/F COURT A TOWER 1 DRAGONS RANGE ,5,3/1/2020,12.3,1011,-,12166,-,1865,2
1345,FLAT F 8/F BLOCK 7 PHASE 1 ROYAL ASCOT,25,3/1/2020,20.5,1373,1623,14931,12631,3761,93
